Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 
0	 -248.3	 0	 -70	 -234.949	 0	 -70.0138	 -221.598	 0	 -70.0139	 -208.247	 0	 -70.0139	 -194.896	 0	 -70.0139	 -181.545	 0	 -70.0139	 -168.194	 0	 -70.0139	 -154.843	 0	 -70.0139	 -141.492	 0	 -70.0139	 -128.141	 0	 -70.0139	 -114.791	 0	 -70.0139	 -101.44	 0	 -70.0139	 -88.0887	 0	 -70.0139	 -74.7377	 0	 -70.0021	 -61.719	 0	 -67.042	 -49.7416	 0	 -61.1436	 -39.1054	 0	 -53.0736	 -29.7865	 0	 -43.5124	 -21.6151	 0	 -32.9534	 -14.4086	 0	 -21.7134	 -8	 0	 -10	 53396.3	 53396.2	 53396.2	 53396.2	 53396.2	 53396.1	 53396.1	 53396.1	 53396	 53395.9	 53395.9	 53395.8	 53395.7	 54758.5	 59532.2	 67023.4	 76451.3	 87188.9	 98808.9	 111038	 
0.1	 -248.3	 0	 -70	 -234.949	 0	 -70.0138	 -221.598	 0	 -70.0139	 -208.247	 0	 -70.0139	 -194.896	 0	 -70.0139	 -181.545	 0	 -70.0139	 -168.194	 0	 -70.0139	 -154.843	 0	 -70.0139	 -141.492	 0	 -70.0139	 -128.141	 0	 -70.0139	 -114.791	 0	 -70.0139	 -101.44	 0	 -70.0139	 -88.0887	 0	 -70.0139	 -74.7377	 0	 -70.0021	 -61.7188	 0	 -67.0429	 -49.7414	 0	 -61.1444	 -39.1059	 0	 -53.0735	 -29.7878	 0	 -43.5115	 -21.6157	 0	 -32.953	 -14.4094	 0	 -21.713	 -8	 0	 -10	 53390	 53390	 53390	 53389.9	 53389.9	 53389.8	 53389.8	 53389.7	 53389.7	 53389.6	 53389.6	 53389.5	 53389.4	 54751.2	 59524.8	 67017.6	 76447.8	 87186.1	 98806.3	 111035	 
0.2	 -248.3	 0	 -70	 -234.95	 0	 -70.0138	 -221.6	 0	 -70.0139	 -208.25	 0	 -70.0139	 -194.9	 0	 -70.0139	 -181.55	 0	 -70.0139	 -168.2	 0	 -70.0139	 -154.85	 0	 -70.0139	 -141.5	 0	 -70.0139	 -128.15	 0	 -70.0139	 -114.799	 0	 -70.0139	 -101.449	 0	 -70.0139	 -88.0979	 0	 -70.0139	 -74.7471	 0	 -70.0027	 -61.7224	 0	 -67.069	 -49.7444	 0	 -61.1714	 -39.1088	 0	 -53.1002	 -29.7905	 0	 -43.5379	 -21.6176	 0	 -32.9797	 -14.411	 0	 -21.7394	 -7.99608	 0	 -10.0289	 0	 0	 0	 0	 234.625	 2519.97	 5820.79	 10257.7	 15880.5	 22634.7	 30319.7	 38557.7	 46811	 55837.1	 67216.5	 80124.3	 93707.8	 107383	 120857	 133989	 
0.3	 -248.3	 0	 -70	 -234.95	 0	 -70.0138	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.549	 0	 -70.0139	 -168.199	 0	 -70.0139	 -154.849	 0	 -70.0139	 -141.499	 0	 -70.0139	 -128.149	 0	 -70.0139	 -114.798	 0	 -70.0139	 -101.448	 0	 -70.0139	 -88.0974	 0	 -70.0139	 -74.7467	 0	 -70.0031	 -61.7097	 0	 -67.1251	 -49.7344	 0	 -61.2226	 -39.1021	 0	 -53.1474	 -29.7861	 0	 -43.5834	 -21.6144	 0	 -33.0246	 -14.4087	 0	 -21.7841	 -7.99291	 0	 -10.0745	 21646.7	 19860.2	 16633.4	 12558.3	 8366.17	 4468.69	 0	 0	 2863.65	 16106	 25272.6	 32967.7	 39666.3	 46310.8	 55277.2	 65807.7	 77412.4	 89675.2	 102277	 114974	 
0.4	 -248.3	 0	 -70	 -234.949	 0	 -70.0138	 -221.598	 0	 -70.0139	 -208.247	 0	 -70.0139	 -194.897	 0	 -70.0139	 -181.546	 0	 -70.0139	 -168.195	 0	 -70.0139	 -154.844	 0	 -70.0139	 -141.493	 0	 -70.0139	 -128.142	 0	 -70.0139	 -114.791	 0	 -70.0139	 -101.44	 0	 -70.0139	 -88.0892	 0	 -70.0139	 -74.7381	 0	 -70.0035	 -61.6823	 0	 -67.2107	 -49.7114	 0	 -61.2985	 -39.0847	 0	 -53.2155	 -29.7729	 0	 -43.6469	 -21.6042	 0	 -33.0854	 -14.4003	 0	 -21.8433	 -7.99266	 0	 -10.1289	 47566	 47340.9	 47005.3	 46756.9	 46822.3	 47394.6	 48580.6	 50370.9	 52643.3	 55197.2	 57809.3	 60291.2	 62525.7	 65931.5	 72809.7	 82943.4	 95073.2	 108241	 121700	 134905	 
0.5	 -248.3	 0	 -70	 -234.949	 0	 -70.0138	 -221.598	 0	 -70.0139	 -208.248	 0	 -70.0139	 -194.897	 0	 -70.0139	 -181.546	 0	 -70.0139	 -168.195	 0	 -70.0139	 -154.844	 0	 -70.0139	 -141.493	 0	 -70.0139	 -128.143	 0	 -70.0139	 -114.792	 0	 -70.0139	 -101.441	 0	 -70.0139	 -88.0894	 0	 -70.0139	 -74.7382	 0	 -70.0035	 -61.6622	 0	 -67.3064	 -49.693	 0	 -61.3904	 -39.0707	 0	 -53.3014	 -29.7619	 0	 -43.7297	 -21.596	 0	 -33.1658	 -14.3934	 0	 -21.9229	 -7.99215	 0	 -10.2048	 47676.4	 47118	 46179.1	 45177.8	 44505.5	 44546.8	 45599.2	 47806.6	 51115.8	 55266.9	 59829.3	 64284.7	 68143.2	 72556.4	 79782.2	 89976.7	 101807	 114487	 127472	 140378	 
0.6	 -248.3	 0	 -70	 -234.95	 0	 -70.0138	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.898	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.847	 0	 -70.0139	 -141.497	 0	 -70.0139	 -128.146	 0	 -70.0139	 -114.796	 0	 -70.0139	 -101.445	 0	 -70.0139	 -88.0942	 0	 -70.0139	 -74.7434	 0	 -70.0038	 -61.6478	 0	 -67.4049	 -49.6777	 0	 -61.4918	 -39.059	 0	 -53.3986	 -29.7527	 0	 -43.8251	 -21.5895	 0	 -33.2596	 -14.3881	 0	 -22.0163	 -7.98996	 0	 -10.297	 22811.3	 22434.7	 21845.8	 21334.4	 21249.1	 21920	 23583.7	 26318.2	 30003.4	 34322.3	 38861.6	 43232.3	 47151.7	 51447.9	 58836.1	 68749	 80167	 92454.9	 105128	 117820	 
0.7	 -248.3	 0	 -70	 -234.95	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.249	 0	 -70.0139	 -194.899	 0	 -70.0139	 -181.548	 0	 -70.0139	 -168.198	 0	 -70.0139	 -154.848	 0	 -70.0139	 -141.497	 0	 -70.0139	 -128.147	 0	 -70.0139	 -114.796	 0	 -70.0139	 -101.446	 0	 -70.0139	 -88.0949	 0	 -70.0139	 -74.7442	 0	 -70.0042	 -61.6267	 0	 -67.5191	 -49.6549	 0	 -61.6096	 -39.0409	 0	 -53.5105	 -29.738	 0	 -43.9338	 -21.5784	 0	 -33.3658	 -14.3793	 0	 -22.1212	 -7.9853	 0	 -10.3998	 18736	 18751.6	 18809.6	 18961.6	 19305.7	 20038.4	 21467	 23866.8	 27053.8	 30467.6	 33751.2	 36943.3	 40197	 44125.4	 51482.7	 61323.1	 72583.1	 84651.1	 97095.4	 109609	 
0.8	 -248.3	 0	 -70	 -234.949	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.248	 0	 -70.0139	 -194.897	 0	 -70.0139	 -181.547	 0	 -70.0139	 -168.196	 0	 -70.0139	 -154.845	 0	 -70.0139	 -141.495	 0	 -70.0139	 -128.144	 0	 -70.0139	 -114.793	 0	 -70.0139	 -101.442	 0	 -70.0139	 -88.0911	 0	 -70.0139	 -74.7401	 0	 -70.0045	 -61.5987	 0	 -67.6481	 -49.6244	 0	 -61.7434	 -39.0159	 0	 -53.637	 -29.7174	 0	 -44.0558	 -21.5624	 0	 -33.4841	 -14.3666	 0	 -22.2372	 -7.97685	 0	 -10.5134	 35284	 35466.2	 35903.2	 36705.9	 37968.8	 39715.8	 41869.7	 44257.4	 46651.2	 48830	 50637.6	 52013.9	 52989.3	 54507.9	 59784.8	 68425.3	 78975.3	 90649.7	 102887	 115294	 
0.9	 -248.3	 0	 -70	 -234.949	 0	 -70.0139	 -221.599	 0	 -70.0139	 -208.248	 0	 -70.0139	 -194.897	 0	 -70.0139	 -181.546	 0	 -70.0139	 -168.195	 0	 -70.0139	 -154.845	 0	 -70.0139	 -141.494	 0	 -70.0139	 -128.143	 0	 -70.0139	 -114.792	 0	 -70.0139	 -101.441	 0	 -70.0139	 -88.0896	 0	 -70.0139	 -74.7385	 0	 -70.0047	 -61.5747	 0	 -67.7767	 -49.5942	 0	 -61.8844	 -38.9901	 0	 -53.7722	 -29.6959	 0	 -44.1869	 -21.5454	 0	 -33.6117	 -14.3533	 0	 -22.3625	 -7.96366	 0	 -10.6386	 40436.3	 40917.2	 41903.4	 43414.5	 45421.1	 47809.4	 50375	 52853.2	 54978.5	 56549.3	 57473.1	 57774.6	 57565.8	 57808	 61908.3	 69683.6	 79498.4	 90562.7	 102347	 114488	 
