Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
0	 -23.852	 13.7918	 -28.5964	 -20.3535	 11.7709	 -25.011	 -16.9097	 9.78179	 -21.3555	 -13.5201	 7.82388	 -17.6331	 -10.1838	 5.89678	 -13.8469	 -6.9	 4	 -10	 242192	 246045	 249971	 253967	 258029	 
0.1	 -23.852	 13.7917	 -28.5966	 -20.3534	 11.7709	 -25.0111	 -16.9097	 9.78174	 -21.3556	 -13.5201	 7.82385	 -17.6331	 -10.1838	 5.89676	 -13.847	 -6.9	 4	 -10	 242194	 246047	 249973	 253968	 258030	 
0.2	 -23.8547	 13.7933	 -28.6004	 -20.3552	 11.7719	 -25.0163	 -16.9114	 9.78271	 -21.361	 -13.5218	 7.8248	 -17.6386	 -10.185	 5.89747	 -13.853	 -6.89976	 4	 -10.0077	 236737	 240583	 244505	 248496	 252553	 
0.3	 -23.8579	 13.7951	 -28.6069	 -20.3569	 11.7728	 -25.0249	 -16.9125	 9.78329	 -21.3704	 -13.5224	 7.82519	 -17.6486	 -10.1841	 5.89734	 -13.8647	 -6.89631	 4	 -10.0216	 227944	 231523	 235239	 239089	 243070	 
0.4	 -23.8621	 13.7975	 -28.6182	 -20.3595	 11.7744	 -25.038	 -16.9134	 9.78384	 -21.3855	 -13.5216	 7.82503	 -17.6655	 -10.181	 5.89688	 -13.8837	 -6.89291	 4	 -10.0404	 242437	 246137	 249944	 253850	 257856	 
0.5	 -23.8664	 13.8	 -28.6341	 -20.3639	 11.7769	 -25.0538	 -16.9153	 9.78518	 -21.4042	 -13.5204	 7.82536	 -17.6877	 -10.1789	 5.89733	 -13.9066	 -6.89327	 4	 -10.0615	 240124	 243690	 247388	 251217	 255185	 
0.6	 -23.8715	 13.803	 -28.6548	 -20.3689	 11.78	 -25.0745	 -16.9182	 9.7877	 -21.4273	 -13.5207	 7.82709	 -17.7136	 -10.1808	 5.89847	 -13.9314	 -6.89864	 4	 -10.0839	 239639	 243241	 246959	 250802	 254782	 
0.7	 -23.8774	 13.8065	 -28.6798	 -20.3729	 11.783	 -25.1019	 -16.9214	 9.79098	 -21.4554	 -13.5247	 7.83002	 -17.7413	 -10.1878	 5.89969	 -13.9574	 -6.91006	 4	 -10.1069	 228574	 232065	 235701	 239495	 243450	 
0.8	 -23.8842	 13.8108	 -28.71	 -20.3758	 11.7859	 -25.1367	 -16.925	 9.79403	 -21.4894	 -13.5326	 7.83264	 -17.7715	 -10.1998	 5.90058	 -13.985	 -6.92796	 4	 -10.1298	 229567	 233076	 236731	 240542	 244509	 
0.9	 -23.8912	 13.8157	 -28.7455	 -20.3803	 11.7895	 -25.1753	 -16.9312	 9.7964	 -21.5271	 -13.5443	 7.83407	 -17.8046	 -10.2178	 5.90151	 -14.0127	 -6.95223	 4	 -10.1527	 231696	 235166	 238796	 242593	 246556	 
1	 -23.8986	 13.8211	 -28.7861	 -20.3895	 11.7941	 -25.2146	 -16.9429	 9.79855	 -21.5653	 -13.5608	 7.83481	 -17.8392	 -10.2422	 5.90243	 -14.0403	 -6.98224	 4	 -10.1759	 236305	 239816	 243481	 247305	 251278	 
